ep_rew_mean,time_elapsed,total_timesteps
,,
1.48e+03,7,500
,,
1.08e+03,14,1000
,,
1.02e+03,21,1500
,,
1.03e+03,29,2000
,,
1.12e+03,36,2500
,,
1.27e+03,43,3000
,,
1.32e+03,51,3500
,,
1.29e+03,58,4000
,,
1.15e+03,65,4500
,,
1.16e+03,73,5000
,,
1.11e+03,80,5500
,,
1.09e+03,87,6000
,,
1.07e+03,95,6500
,,
1.06e+03,102,7000
,,
1.06e+03,109,7500
,,
1.09e+03,116,8000
,,
1.11e+03,124,8500
,,
1.13e+03,131,9000
,,
1.14e+03,138,9500
,,
1.13e+03,146,10000
,,
1.14e+03,153,10500
,,
1.14e+03,160,11000
,,
1.17e+03,167,11500
,,
1.17e+03,175,12000
,,
1.19e+03,182,12500
,,
1.19e+03,189,13000
,,
1.22e+03,197,13500
,,
1.22e+03,204,14000
,,
1.22e+03,211,14500
,,
1.22e+03,218,15000
,,
1.2e+03,226,15500
,,
1.2e+03,233,16000
,,
1.2e+03,240,16500
,,
1.2e+03,248,17000
,,
1.2e+03,255,17500
,,
1.19e+03,262,18000
,,
1.18e+03,270,18500
,,
1.17e+03,277,19000
,,
1.17e+03,284,19500
,,
1.19e+03,292,20000
,,
1.21e+03,299,20500
,,
1.23e+03,306,21000
,,
1.25e+03,313,21500
,,
1.26e+03,321,22000
,,
1.23e+03,328,22500
,,
1.19e+03,336,23000
,,
1.17e+03,343,23500
,,
1.17e+03,350,24000
,,
1.17e+03,357,24500
,,
1.19e+03,365,25000
,,
1.21e+03,372,25500
,,
1.21e+03,379,26000
,,
1.21e+03,387,26500
,,
1.19e+03,394,27000
,,
1.18e+03,402,27500
,,
1.17e+03,409,28000
,,
1.15e+03,416,28500
,,
1.13e+03,424,29000
,,
1.11e+03,431,29500
,,
1.09e+03,439,30000
,,
1.07e+03,446,30500
,,
1.06e+03,454,31000
,,
1.02e+03,462,31500
,,
1.01e+03,469,32000
,,
994,477,32500
,,
991,485,33000
,,
984,493,33500
,,
942,500,34000
,,
921,508,34500
,,
902,516,35000
,,
850,524,35500
,,
842,531,36000
,,
812,539,36500
,,
761,547,37000
,,
756,555,37500
,,
756,563,38000
,,
723,570,38500
,,
699,578,39000
,,
692,586,39500
,,
685,594,40000
,,
680,602,40500
,,
680,610,41000
,,
680,619,41500
,,
680,627,42000
,,
680,635,42500
,,
680,643,43000
,,
680,652,43500
,,
680,660,44000
,,
680,668,44500
,,
680,676,45000
,,
680,684,45500
,,
680,693,46000
,,
680,701,46500
,,
680,709,47000
,,
680,718,47500
,,
680,726,48000
,,
680,734,48500
,,
680,743,49000
,,
680,751,49500
,,
680,759,50000
,,
680,768,50500
,,
680,776,51000
,,
680,784,51500
,,
680,793,52000
,,
680,801,52500
,,
680,810,53000
,,
680,818,53500
,,
680,827,54000
,,
680,835,54500
,,
680,844,55000
,,
680,852,55500
,,
680,861,56000
,,
680,869,56500
,,
680,877,57000
,,
680,886,57500
,,
680,894,58000
,,
680,903,58500
,,
680,911,59000
,,
680,920,59500
,,
680,928,60000
,,
680,936,60500
,,
680,944,61000
,,
680,953,61500
,,
680,962,62000
,,
680,970,62500
,,
680,978,63000
,,
680,987,63500
,,
680,995,64000
,,
680,1004,64500
,,
680,1012,65000
,,
680,1021,65500
,,
680,1029,66000
,,
680,1038,66500
,,
680,1046,67000
,,
680,1055,67500
,,
680,1063,68000
,,
680,1072,68500
,,
680,1080,69000
,,
680,1089,69500
,,
680,1097,70000
,,
680,1106,70500
,,
680,1115,71000
,,
680,1123,71500
,,
680,1131,72000
,,
680,1139,72500
,,
680,1148,73000
,,
680,1156,73500
,,
680,1165,74000
,,
680,1173,74500
,,
680,1182,75000
,,
680,1190,75500
,,
680,1199,76000
,,
680,1208,76500
,,
680,1216,77000
,,
680,1224,77500
,,
680,1233,78000
,,
680,1241,78500
,,
680,1250,79000
,,
680,1258,79500
,,
680,1267,80000
,,
680,1275,80500
,,
680,1284,81000
,,
680,1292,81500
,,
680,1301,82000
,,
680,1310,82500
,,
680,1318,83000
,,
680,1327,83500
,,
680,1335,84000
,,
680,1343,84500
,,
680,1352,85000
,,
680,1360,85500
,,
680,1369,86000
,,
680,1377,86500
,,
680,1385,87000
,,
680,1393,87500
,,
680,1401,88000
,,
680,1409,88500
,,
680,1417,89000
,,
680,1425,89500
,,
680,1434,90000
,,
680,1442,90500
,,
680,1450,91000
,,
680,1458,91500
,,
680,1466,92000
,,
680,1474,92500
,,
680,1482,93000
,,
680,1490,93500
,,
680,1498,94000
,,
680,1507,94500
,,
680,1515,95000
,,
680,1523,95500
,,
680,1531,96000
,,
680,1539,96500
,,
680,1547,97000
,,
680,1555,97500
,,
680,1563,98000
,,
680,1571,98500
,,
680,1579,99000
,,
680,1588,99500
,,
680,1596,100000
,,
680,1604,100500
,,
680,1612,101000
,,
680,1620,101500
,,
680,1628,102000
,,
680,1636,102500
,,
680,1644,103000
,,
680,1652,103500
,,
680,1661,104000
,,
680,1669,104500
,,
680,1677,105000
,,
680,1685,105500
,,
680,1693,106000
,,
680,1701,106500
,,
680,1709,107000
,,
680,1717,107500
,,
680,1725,108000
,,
680,1734,108500
,,
680,1742,109000
,,
680,1750,109500
,,
680,1758,110000
,,
680,1766,110500
,,
680,1774,111000
,,
680,1782,111500
,,
680,1790,112000
,,
680,1798,112500
,,
680,1807,113000
,,
680,1815,113500
,,
680,1823,114000
,,
680,1831,114500
,,
680,1839,115000
,,
680,1847,115500
,,
680,1855,116000
,,
680,1863,116500
,,
680,1871,117000
,,
680,1879,117500
,,
680,1888,118000
,,
680,1896,118500
,,
680,1904,119000
,,
680,1912,119500
,,
680,1920,120000
,,
680,1928,120500
,,
680,1936,121000
,,
680,1944,121500
,,
680,1952,122000
,,
680,1961,122500
,,
680,1969,123000
,,
680,1977,123500
,,
680,1985,124000
,,
680,1993,124500
,,
680,2001,125000
,,
680,2009,125500
,,
680,2017,126000
,,
680,2025,126500
,,
680,2033,127000
,,
680,2042,127500
,,
680,2050,128000
,,
680,2058,128500
,,
680,2066,129000
,,
680,2074,129500
,,
680,2082,130000
,,
680,2090,130500
,,
680,2099,131000
,,
680,2108,131500
,,
680,2116,132000
,,
680,2125,132500
,,
680,2133,133000
,,
680,2142,133500
,,
680,2150,134000
,,
680,2159,134500
,,
680,2167,135000
,,
680,2176,135500
,,
680,2184,136000
,,
680,2193,136500
,,
680,2201,137000
,,
680,2210,137500
,,
680,2218,138000
,,
680,2227,138500
,,
680,2235,139000
,,
680,2244,139500
,,
680,2252,140000
,,
680,2261,140500
,,
680,2269,141000
,,
680,2278,141500
,,
680,2287,142000
,,
680,2295,142500
,,
680,2304,143000
,,
680,2312,143500
,,
680,2321,144000
,,
680,2329,144500
,,
680,2338,145000
,,
680,2346,145500
,,
680,2355,146000
,,
680,2363,146500
,,
680,2372,147000
,,
680,2380,147500
,,
680,2388,148000
,,
680,2397,148500
,,
680,2405,149000
,,
680,2414,149500
,,
680,2422,150000
,,
680,2431,150500
,,
680,2439,151000
,,
680,2447,151500
,,
680,2456,152000
,,
680,2464,152500
,,
680,2473,153000
,,
680,2482,153500
,,
680,2490,154000
,,
680,2499,154500
,,
680,2507,155000
,,
680,2516,155500
,,
680,2524,156000
,,
680,2533,156500
,,
680,2542,157000
,,
680,2550,157500
,,
680,2559,158000
,,
680,2567,158500
,,
680,2576,159000
,,
680,2584,159500
,,
680,2593,160000
,,
680,2601,160500
,,
680,2610,161000
,,
680,2619,161500
,,
680,2627,162000
