ep_rew_mean,time_elapsed,total_timesteps
,,
2.26e+03,10,500
,,
1.93e+03,19,1000
,,
1.96e+03,28,1500
,,
1.88e+03,37,2000
,,
1.89e+03,47,2500
,,
1.77e+03,56,3000
,,
1.54e+03,65,3500
,,
1.37e+03,74,4000
,,
1.36e+03,83,4500
,,
1.35e+03,92,5000
,,
1.29e+03,101,5500
,,
1.27e+03,113,6000
,,
1.24e+03,123,6500
,,
1.23e+03,132,7000
,,
1.26e+03,141,7500
,,
1.28e+03,150,8000
,,
1.3e+03,160,8500
,,
1.31e+03,168,9000
,,
1.34e+03,178,9500
,,
1.36e+03,187,10000
,,
1.39e+03,196,10500
,,
1.4e+03,205,11000
,,
1.43e+03,214,11500
,,
1.42e+03,223,12000
,,
1.43e+03,232,12500
,,
1.42e+03,242,13000
,,
1.4e+03,253,13500
,,
1.36e+03,262,14000
,,
1.32e+03,271,14500
,,
1.28e+03,280,15000
,,
1.26e+03,289,15500
,,
1.25e+03,298,16000
,,
1.24e+03,307,16500
,,
1.21e+03,316,17000
,,
1.18e+03,326,17500
,,
1.15e+03,335,18000
,,
1.12e+03,344,18500
,,
1.04e+03,353,19000
,,
1.04e+03,362,19500
,,
1.04e+03,373,20000
,,
1.04e+03,383,20500
,,
1.04e+03,392,21000
,,
1.02e+03,401,21500
,,
1.02e+03,410,22000
,,
1e+03,419,22500
,,
996,428,23000
,,
996,437,23500
,,
996,446,24000
,,
1e+03,455,24500
,,
993,464,25000
,,
993,473,25500
,,
981,482,26000
,,
978,491,26500
,,
979,502,27000
,,
944,512,27500
,,
932,521,28000
,,
926,530,28500
,,
934,539,29000
,,
903,548,29500
,,
907,557,30000
,,
906,566,30500
,,
900,576,31000
,,
903,584,31500
,,
926,594,32000
,,
946,603,32500
,,
969,612,33000
,,
969,621,33500
,,
969,633,34000
,,
990,642,34500
,,
999,651,35000
,,
1.01e+03,660,35500
,,
1.02e+03,669,36000
,,
1.03e+03,679,36500
,,
1.06e+03,688,37000
,,
1.08e+03,697,37500
,,
1.1e+03,706,38000
,,
1.1e+03,715,38500
,,
1.13e+03,724,39000
,,
1.15e+03,733,39500
,,
1.16e+03,742,40000
,,
1.16e+03,751,40500
,,
1.18e+03,764,41000
,,
1.2e+03,773,41500
,,
1.2e+03,782,42000
,,
1.2e+03,791,42500
,,
1.21e+03,800,43000
,,
1.21e+03,809,43500
,,
1.22e+03,818,44000
,,
1.22e+03,827,44500
,,
1.22e+03,836,45000
,,
1.23e+03,845,45500
,,
1.23e+03,855,46000
,,
1.23e+03,864,46500
,,
1.24e+03,873,47000
,,
1.22e+03,882,47500
,,
1.22e+03,894,48000
,,
1.22e+03,903,48500
,,
1.2e+03,912,49000
,,
1.18e+03,921,49500
,,
1.13e+03,930,50000
,,
1.13e+03,939,50500
,,
1.1e+03,948,51000
