ep_rew_mean,time_elapsed,total_timesteps
,,
2.03e+03,22,1727
,,
1.83e+03,37,2813
,,
1.9e+03,58,4426
,,
1.84e+03,76,5771
,,
1.81e+03,92,6938
,,
1.89e+03,118,8721
,,
1.89e+03,138,10224
,,
1.83e+03,153,11377
,,
1.83e+03,172,12844
,,
1.85e+03,197,14717
,,
1.86e+03,215,16080
,,
1.81e+03,230,16909
,,
1.79e+03,245,18037
,,
1.79e+03,261,19267
,,
1.79e+03,281,20732
,,
1.8e+03,301,22221
,,
1.81e+03,318,23511
,,
1.8e+03,333,24604
,,
1.81e+03,358,26319
,,
1.83e+03,380,27981
,,
1.84e+03,406,29881
,,
1.85e+03,427,31465
,,
1.83e+03,441,32480
,,
1.84e+03,463,34161
,,
1.87e+03,493,36177
,,
1.86e+03,509,37414
,,
1.88e+03,531,39027
,,
1.87e+03,550,40459
,,
1.87e+03,568,41743
,,
1.88e+03,587,43234
,,
1.86e+03,605,44507
,,
1.86e+03,625,45812
,,
1.87e+03,639,46912
,,
1.9e+03,667,48970
,,
1.88e+03,683,50187
,,
1.89e+03,705,51827
,,
1.92e+03,726,53411
,,
1.96e+03,757,55446
,,
1.97e+03,778,57056
,,
2e+03,808,59137
,,
1.99e+03,824,60358
,,
1.96e+03,835,61150
,,
1.97e+03,852,62383
,,
1.97e+03,873,63691
,,
1.96e+03,891,65060
,,
1.97e+03,909,66391
,,
1.95e+03,925,67574
,,
1.97e+03,944,68996
,,
1.97e+03,963,70417
,,
1.95e+03,983,71897
,,
1.94e+03,1002,73061
,,
1.92e+03,1020,74391
,,
1.91e+03,1034,75410
,,
1.89e+03,1044,76167
,,
1.9e+03,1068,77891
,,
1.92e+03,1090,79525
,,
1.9e+03,1104,80535
,,
1.91e+03,1123,81942
,,
1.87e+03,1140,83034
,,
1.89e+03,1159,84413
,,
1.87e+03,1174,85537
,,
1.86e+03,1193,86945
,,
1.83e+03,1209,88144
,,
1.83e+03,1229,89575
,,
1.79e+03,1245,90790
,,
1.78e+03,1264,91945
,,
1.82e+03,1284,93404
,,
1.81e+03,1298,94469
,,
1.79e+03,1312,95468
,,
1.8e+03,1337,97299
,,
1.79e+03,1352,98430
,,
1.78e+03,1368,99584
,,
1.76e+03,1380,100453
,,
1.76e+03,1399,101643
,,
1.74e+03,1414,102785
,,
1.75e+03,1436,104399
,,
1.77e+03,1455,105769
,,
1.78e+03,1471,107005
,,
1.79e+03,1487,108106
,,
1.8e+03,1509,109761
,,
1.78e+03,1526,110778
,,
1.8e+03,1541,111893
,,
1.79e+03,1558,113145
,,
1.79e+03,1571,114080
,,
1.76e+03,1582,114905
,,
1.75e+03,1595,115839
,,
1.73e+03,1606,116667
,,
1.72e+03,1618,117515
,,
1.69e+03,1631,118503
,,
1.69e+03,1645,119415
,,
1.68e+03,1659,120324
,,
1.68e+03,1678,121728
,,
1.68e+03,1691,122708
,,
1.69e+03,1703,123563
,,
1.67e+03,1718,124633
,,
1.66e+03,1733,125733
,,
1.67e+03,1752,127108
,,
1.68e+03,1764,128024
,,
1.66e+03,1780,128939
,,
1.67e+03,1796,130065
,,
1.65e+03,1810,131132
,,
1.64e+03,1829,132485
,,
1.64e+03,1845,133666
,,
1.64e+03,1859,134690
,,
1.6e+03,1870,135482
,,
1.6e+03,1883,136398
,,
1.6e+03,1895,137335
,,
1.58e+03,1911,138272
,,
1.59e+03,1926,139340
,,
1.62e+03,1945,140723
,,
1.64e+03,1961,141877
,,
1.64e+03,1974,142813
,,
1.63e+03,1985,143618
,,
1.63e+03,1996,144430
,,
1.63e+03,2011,145450
,,
1.64e+03,2024,146447
,,
1.6e+03,2035,147096
,,
1.59e+03,2053,148299
,,
1.58e+03,2063,149045
,,
1.58e+03,2078,150116
,,
1.58e+03,2093,151193
,,
1.58e+03,2111,152507
,,
1.57e+03,2122,153270
,,
1.58e+03,2136,154319
